Doc_ID,Speaker,Date,Sentence_Rank,Parsed_Text_clean,lang,lang_prob
2,Christine Lagarde,2025-09-30,23,2 second exchange rate,en,4.797717094421387
2,Christine Lagarde,2025-09-30,38,exchange rate not behav,en,2.788873672485352
2,Christine Lagarde,2025-09-30,48,effect not strong,en,2.788873672485352
2,Christine Lagarde,2025-09-30,78,place,en,9.061840057373049
2,Christine Lagarde,2025-09-30,102,agile ready respond data,en,4.797717094421387
2,Christine Lagarde,2025-09-30,103,conclude,en,9.061840057373049
2,Christine Lagarde,2025-09-30,109,place place not fix,en,2.788873672485352
2,Christine Lagarde,2025-09-30,119,wage government consumption transfer,en,2.701602935791016
4,Piero Cipollone,2025-09-26,29,publish initial result,en,9.061840057373049
4,Piero Cipollone,2025-09-26,98,34,en,9.061840057373049
4,Piero Cipollone,2025-09-26,126,attention,en,9.061840057373049
5,Piero Cipollone,2025-09-17,77,dual responsibility,en,9.061840057373049
5,Piero Cipollone,2025-09-17,119,2024 ecb conduct cyber resilience test 109 bank,en,2.7703819274902344
5,Piero Cipollone,2025-09-17,157,economy function shock hit,en,1.8501863479614256
5,Piero Cipollone,2025-09-17,162,clearer,en,9.061840057373049
5,Piero Cipollone,2025-09-17,173,farrell h newman,en,3.722856521606445
8,Christine Lagarde,2025-09-15,24,result system limit,en,9.061840057373049
8,Christine Lagarde,2025-09-15,66,realistic,en,9.061840057373049
8,Christine Lagarde,2025-09-15,85,,en,9.061840057373049
8,Christine Lagarde,2025-09-15,149,farrel h newman,en,9.061840057373049
16,Piero Cipollone,2025-07-10,75,complement,en,9.061840057373049
16,Piero Cipollone,2025-07-10,78,unwaver commitment cash,en,1.080333232879639
16,Piero Cipollone,2025-07-10,100,share finding soon,en,3.021581649780273
20,"Christine Lagarde,Philip R. Lane",2025-06-30,29,two stream,en,9.061840057373049
20,"Christine Lagarde,Philip R. Lane",2025-06-30,30,up paragraph 1,en,9.061840057373049
20,"Christine Lagarde,Philip R. Lane",2025-06-30,85,paragraph 4 safety margin,en,3.1631383895874023
20,"Christine Lagarde,Philip R. Lane",2025-06-30,90,not region 2,en,2.788873672485352
20,"Christine Lagarde,Philip R. Lane",2025-06-30,94,worth update,en,9.061840057373049
20,"Christine Lagarde,Philip R. Lane",2025-06-30,97,learnt five,en,9.061840057373049
20,"Christine Lagarde,Philip R. Lane",2025-06-30,100,2022 2023 hik lot,en,9.061840057373049
20,"Christine Lagarde,Philip R. Lane",2025-06-30,102,2023 2024 4,en,9.061840057373049
20,"Christine Lagarde,Philip R. Lane",2025-06-30,110,important,en,9.061840057373049
20,"Christine Lagarde,Philip R. Lane",2025-06-30,121,paragraph 7 stable,en,9.061840057373049
20,"Christine Lagarde,Philip R. Lane",2025-06-30,136,paragraph 8 toolbox paragraph,en,9.061840057373049
20,"Christine Lagarde,Philip R. Lane",2025-06-30,144,couple revision amplification,en,9.061840057373049
20,"Christine Lagarde,Philip R. Lane",2025-06-30,150,2020 example,en,9.061840057373049
20,"Christine Lagarde,Philip R. Lane",2025-06-30,153,instrument toolbox,en,2.284790515899658
20,"Christine Lagarde,Philip R. Lane",2025-06-30,168,reflect purpose,en,9.061840057373049
20,"Christine Lagarde,Philip R. Lane",2025-06-30,184,clear,en,9.061840057373049
20,"Christine Lagarde,Philip R. Lane",2025-06-30,205,learn,en,9.061840057373049
20,"Christine Lagarde,Philip R. Lane",2025-06-30,248,mind,en,9.061840057373049
20,"Christine Lagarde,Philip R. Lane",2025-06-30,249,change,en,9.061840057373049
20,"Christine Lagarde,Philip R. Lane",2025-06-30,273,economy concern transformational,en,9.061840057373049
20,"Christine Lagarde,Philip R. Lane",2025-06-30,280,discussion structural overvaluation currency,en,9.061840057373049
20,"Christine Lagarde,Philip R. Lane",2025-06-30,291,mandate,en,9.061840057373049
20,"Christine Lagarde,Philip R. Lane",2025-06-30,295,path,en,9.061840057373049
20,"Christine Lagarde,Philip R. Lane",2025-06-30,303,popular way,en,3.274052143096924
20,"Christine Lagarde,Philip R. Lane",2025-06-30,307,well 2028,en,3.722856521606445
20,"Christine Lagarde,Philip R. Lane",2025-06-30,335,,en,9.061840057373049
20,"Christine Lagarde,Philip R. Lane",2025-06-30,336,ongo,en,9.061840057373049
20,"Christine Lagarde,Philip R. Lane",2025-06-30,355,tool limit,en,9.061840057373049
20,"Christine Lagarde,Philip R. Lane",2025-06-30,359,full symmetry,en,3.722856521606445
21,Piero Cipollone,2025-06-27,1,two main reason,en,3.044527053833008
21,Piero Cipollone,2025-06-27,58,key feature tip multicurrency platform,en,1.8501863479614256
21,Piero Cipollone,2025-06-27,60,11 norway 2028,en,9.061840057373049
21,Piero Cipollone,2025-06-27,106,common,en,9.061840057373049
22,Christine Lagarde,2025-06-26,29,happen,en,9.061840057373049
22,Christine Lagarde,2025-06-26,135,confident find unity,en,4.797717094421387
22,Christine Lagarde,2025-06-26,158,1983 imagin community,en,9.061840057373049
22,Christine Lagarde,2025-06-26,172,11 issue 4 pp,en,3.656414031982422
27,Frank Elderson,2025-06-18,7,rest history,en,9.061840057373049
27,Frank Elderson,2025-06-18,15,time action,en,0.9003105163574219
27,Frank Elderson,2025-06-18,68,11 prioritisation both pragmatic effective,en,3.047835350036621
27,Frank Elderson,2025-06-18,126,way life,en,9.061840057373049
27,Frank Elderson,2025-06-18,128,20 attention,en,9.061840057373049
32,Philip R. Lane,2025-06-11,20,latest observation 10 2025,en,9.061840057373049
32,Philip R. Lane,2025-06-11,28,latest observation 10 2025,en,9.061840057373049
32,Philip R. Lane,2025-06-11,86,latest observation 2025,en,9.061840057373049
32,Philip R. Lane,2025-06-11,156,2024 buy bond now,en,4.797717094421387
33,Christine Lagarde,2025-06-11,2,1 map alway reflect society produc,en,3.1631383895874023
33,Christine Lagarde,2025-06-11,25,stake high,en,1.6928634643554688
33,Christine Lagarde,2025-06-11,76,18 account twothird,en,9.061840057373049
33,Christine Lagarde,2025-06-11,127,control contribution,en,9.061840057373049
33,Christine Lagarde,2025-06-11,140,practice neighbour,en,9.061840057373049
33,Christine Lagarde,2025-06-11,144,done,en,9.061840057373049
33,Christine Lagarde,2025-06-11,145,,en,9.061840057373049
33,Christine Lagarde,2025-06-11,190,129 issue 4 pp,en,3.656414031982422
33,Christine Lagarde,2025-06-11,192,figure relate 2022,en,9.061840057373049
34,Frank Elderson,2025-06-09,7,monument simple,en,9.061840057373049
34,Frank Elderson,2025-06-09,15,taught both,en,2.204115867614746
34,Frank Elderson,2025-06-09,193,article 1274 2825 tfeu,en,9.061840057373049
37,Christine Lagarde,2025-05-26,3,fractur,en,1.008133888244629
37,Christine Lagarde,2025-05-26,18,likely change happen,en,3.612136840820313
37,Christine Lagarde,2025-05-26,152,2023 international currency replac,en,2.752083301544189
44,Isabel Schnabel,2025-05-10,123,fewer firm fal export order,en,1.301051139831543
44,Isabel Schnabel,2025-05-10,170,both unlikely current juncture,en,3.612136840820313
44,Isabel Schnabel,2025-05-10,181,standard new keynesian phillip curve,en,1.4352803230285645
44,Isabel Schnabel,2025-05-10,240,bernanke b blanchard o,en,2.8983449935913086
45,Piero Cipollone,2025-04-29,38,effect real economy likely material,en,3.612136840820313
45,Piero Cipollone,2025-04-29,97,episode read historical context,en,2.387363910675049
45,Piero Cipollone,2025-04-29,137,36 conclude,en,9.061840057373049
45,Piero Cipollone,2025-04-29,173,omfif 2024 global public investor 2024,en,3.047835350036621
49,Piero Cipollone,2025-04-08,26,structural weakness,en,9.061840057373049
49,Piero Cipollone,2025-04-08,88,23 conclude,en,9.061840057373049
49,Piero Cipollone,2025-04-08,89,time act now,en,0.9003105163574219
49,Piero Cipollone,2025-04-08,159,research finding publish mid2025,en,3.4079065322875977
53,Christine Lagarde,2025-04-02,12,trade investment flourish,en,9.061840057373049
53,Christine Lagarde,2025-04-02,29,leverage competitive advantage,en,1.010085105895996
53,Christine Lagarde,2025-04-02,31,attract talent investment,en,1.0466089248657229
53,Christine Lagarde,2025-04-02,48,company,en,9.061840057373049
58,Isabel Schnabel,2025-03-27,63,risktak channel,en,9.061840057373049
58,Isabel Schnabel,2025-03-27,251,2025 real income increas not,en,3.044527053833008
58,Isabel Schnabel,2025-03-27,263,148 supplement,en,9.061840057373049
59,Philip R. Lane,2025-03-20,189,reason inadequate regulation supervision,en,3.044527053833008
59,Philip R. Lane,2025-03-20,274,transformation,en,9.061840057373049
59,Philip R. Lane,2025-03-20,348,2017 future form money,en,9.061840057373049
59,Philip R. Lane,2025-03-20,360,theory money,en,3.4977898597717285
59,Philip R. Lane,2025-03-20,406,truth layer payment system,en,1.2960600852966309
63,Christine Lagarde,2025-03-12,14,change imply reaction function,en,3.612136840820313
63,Christine Lagarde,2025-03-12,54,,en,9.061840057373049
63,Christine Lagarde,2025-03-12,124,stability,en,0.9760494232177734
66,Piero Cipollone,2025-02-18,2,reason,en,3.044527053833008
66,Piero Cipollone,2025-02-18,30,implication appropriate policy rate path,en,9.061840057373049
66,Piero Cipollone,2025-02-18,65,latest observation 31 2025,en,9.061840057373049
66,Piero Cipollone,2025-02-18,74,latest observation 2024,en,9.061840057373049
66,Piero Cipollone,2025-02-18,87,latest observation 12 2025,en,9.061840057373049
66,Piero Cipollone,2025-02-18,106,latest observation 2024,en,9.061840057373049
66,Piero Cipollone,2025-02-18,128,latest observation 2025 data,en,9.061840057373049
66,Piero Cipollone,2025-02-18,143,latest observation 2025,en,9.061840057373049
66,Piero Cipollone,2025-02-18,155,first history ecb,en,3.4977898597717285
66,Piero Cipollone,2025-02-18,168,latest observation 7 2025,en,9.061840057373049
66,Piero Cipollone,2025-02-18,184,vital part toolkit,en,2.284790515899658
66,Piero Cipollone,2025-02-18,266,147 supplement,en,9.061840057373049
73,Luis de Guindos,2025-01-15,19,wage growth moderate,en,9.061840057373049
73,Luis de Guindos,2025-01-15,28,projection see growth 2024 07,en,2.536614418029785
73,Luis de Guindos,2025-01-15,61,3 conclude,en,9.061840057373049
77,Isabel Schnabel,2024-12-16,20,question fast remove policy restriction,en,9.061840057373049
77,Isabel Schnabel,2024-12-16,24,service inflation particular high 39,en,1.8555011749267576
77,Isabel Schnabel,2024-12-16,46,upward pressure import price,en,9.061840057373049
77,Isabel Schnabel,2024-12-16,96,happen recent,en,9.061840057373049
78,Christine Lagarde,2024-12-16,15,2023 exceed 83,en,9.061840057373049
78,Christine Lagarde,2024-12-16,94,three main implication,en,2.536614418029785
78,Christine Lagarde,2024-12-16,118,best position react future shock,en,9.061840057373049
82,Philip R. Lane,2024-11-25,97,latest observation 2024,en,9.061840057373049
82,Philip R. Lane,2024-11-25,166,latest observation second 2024,en,4.797717094421387
82,Philip R. Lane,2024-11-25,229,latest observation first 2024 left 2024 right,en,9.061840057373049
82,Philip R. Lane,2024-11-25,263,circle represent annual inflation forecast 2024 projection,en,4.74055814743042
82,Philip R. Lane,2024-11-25,320,text accessible both constituency,en,9.061840057373049
82,Philip R. Lane,2024-11-25,442,1991 fed smooth interest rate belongia mt,en,9.061840057373049
84,Christine Lagarde,2024-11-22,67,9 fragmentation,en,9.061840057373049
84,Christine Lagarde,2024-11-22,73,progress,en,9.061840057373049
84,Christine Lagarde,2024-11-22,98,vc investment onethird level,en,1.8948240280151367
84,Christine Lagarde,2024-11-22,110,supply side,en,3.612136840820313
84,Christine Lagarde,2024-11-22,136,apply nor,en,3.612136840820313
84,Christine Lagarde,2024-11-22,165,figure 2022,en,9.061840057373049
89,Christine Lagarde,2024-11-18,53,adapt adapt,en,9.061840057373049
89,Christine Lagarde,2024-11-18,56,not act collectively,en,2.788873672485352
89,Christine Lagarde,2024-11-18,64,ready change now,en,9.061840057373049
89,Christine Lagarde,2024-11-18,127,42 37 respectively,en,9.061840057373049
90,Philip R. Lane,2024-11-18,100,latest observation 2023,en,9.061840057373049
90,Philip R. Lane,2024-11-18,132,latest observation 2024,en,9.061840057373049
90,Philip R. Lane,2024-11-18,157,latest observation 2024 mpe,en,9.061840057373049
96,Isabel Schnabel,2024-11-07,6,stock stand,en,9.061840057373049
96,Isabel Schnabel,2024-11-07,42,96 bank case next six,en,9.061840057373049
96,Isabel Schnabel,2024-11-07,125,two side,en,9.061840057373049
96,Isabel Schnabel,2024-11-07,138,resilience reserve ample,en,2.7703819274902344
101,Frank Elderson,2024-11-04,5,time integrate fragment system supervision impossible forever,en,9.061840057373049
101,Frank Elderson,2024-11-04,7,long way,en,3.274052143096924
101,Frank Elderson,2024-11-04,21,start,en,9.061840057373049
101,Frank Elderson,2024-11-04,23,,en,9.061840057373049
101,Frank Elderson,2024-11-04,30,destination clear,en,9.061840057373049
106,Philip R. Lane,2024-10-24,47,sample cover period 2001 2024,en,1.2960600852966309
106,Philip R. Lane,2024-10-24,86,latest observation 2024,en,9.061840057373049
106,Philip R. Lane,2024-10-24,113,latest observation 2025,en,9.061840057373049
109,Christine Lagarde,2024-10-16,28,economy adapt,en,2.78085994720459
