date_time,channel,speaker,title,url,tfidf_hmd_z_ch,excerpt
2023-06-27,speech,Christine Lagarde,Breaking the persistence of inflation,,6.426649702093786,"SPEECH Breaking the persistence of inflation Speech by Christine Lagarde, President of the ECB, at the ECB Forum on Central Banking 2023 on “Macroeconomic stabilisation in a volatile inflation environment” in Sintra, Portugal Sintra, 27 June 2023 Inflation in the euro area is too high and is set to remain so for too long. But the nature of the inflation challenge in the euro area is changing. We are seeing a decline in the inflation rate as the shocks that originally drove up inflation wane and "
2024-12-16,speech,Christine Lagarde,Monetary policy in the euro area,,6.052514921357929,"SPEECH Monetary policy in the euro area Speech by Christine Lagarde, President of the ECB, at the Bank of Lithuania’s Annual Economics Conference on “Pillars of Resilience Amid Global Geopolitical Shifts”, on the occasion of the 10th anniversary of euro introduction, Vilnius, Lithuania Vilnius, 16 December 2024 It is an honour to be here today to mark 10 years of Lithuania in the euro. “Laisvė, Vienybė, Gerovė” – freedom, unity and well-being. These are core national values in Lithuania – and ac"
2023-03-06,speech,Philip R. Lane,Underlying inflation,,5.738540247951244,"SPEECH Underlying inflation Lecture by Philip R. Lane, Member of the Executive Board of the ECB, Trinity College Dublin Dublin, 6 March 2023 Introduction When inflation has been far from target for a sustained period and the process of monetary tightening has been under way for some time, there are three primary inputs into monetary policy decisions.[1] First, in view of the medium-term orientation of monetary policy, the inflation forecast over the next one to three years plays an important rol"
2019-07-11,speech,Benoît Cœuré,Inflation expectations and the conduct of monetary policy,,5.693957705145314,"Inflation expectations and the conduct of monetary policy Speech by Benoît Cœuré, Member of the Executive Board of the ECB, at an event organised by the SAFE Policy Center, Frankfurt am Main, 11 July 2019 Stable inflation expectations at levels consistent with price stability provide an important nominal anchor for the economy. They reduce inflation persistence and curb harmful macroeconomic volatility. There is compelling empirical evidence suggesting that increased clarity about central banks’"
2021-09-13,speech,Isabel Schnabel,New narratives on monetary policy – the spectre of inflation,,5.519201447853986,"SPEECH New narratives on monetary policy – the spectre of inflation Speech by Isabel Schnabel, Member of the Executive Board of the ECB, 148th Baden-Baden Entrepreneurs’ Talk Frankfurt am Main, 13 September 2021 Sentiment in the euro area is brightening. Despite growing COVID-19 incidence numbers, consumers and firms are becoming more upbeat about the future. The European Commission’s economic sentiment indicator has improved markedly since the beginning of the year and was near record highs in "
2016-04-04,speech,Peter Praet,The ECB's fight against low inflation: reasons and consequences,,5.515192971441315,"The ECB's fight against low inflation: reasons and consequences Speech by Peter Praet, Member of the Executive Board of the ECB, at Luiss School of European Political Economy, Rome, 4 April 2016 In the last half century central banks have come a long way in how they approach their macro-stabilisation functions.[1] As recently as the late 1970s, views still diverged across advanced economy central banks as to the efficacy of monetary policy in delivering price stability. Some, such as the Bundesb"
2023-07-07,speech,Luis de Guindos,The inflation outlook and monetary policy in the euro area ,,5.288478842769968,"SPEECH The inflation outlook and monetary policy in the euro area Keynote speech by Luis de Guindos, Vice-President of the ECB, at King’s College London London, 7 July 2023 Introduction Thank you very much for inviting me here today to give the keynote speech on inflation.[1] Over the past two years inflation has surged across the globe, with the euro area being no exception. To be able to deliver on their mandates, monetary policymakers must understand its root causes, dynamics as well as possi"
2020-05-22,speech,Philip R. Lane,International inflation co-movements,,5.122061178386063,"SPEECH 22 May 2020 International inflation co-movements Speech by Philip R. Lane, Member of the Executive Board of the ECB, at the Inflation: Drivers and Dynamics 2020 Online Conference, Federal Reserve Bank of Cleveland/European Central Bank, 22 May 2020 In my remarks today, I will discuss some analytical issues in understanding the drivers of international inflation co-movements. In particular, I will examine the individual contributions of common shocks, structural change and the evolution of"
2024-03-20,speech,Christine Lagarde,Building confidence in the path ahead,,5.109856257847629,"SPEECH Building confidence in the path ahead Speech by Christine Lagarde, President of the ECB, at The ECB and its Watchers XXIV Conference, organised by the Institute for Monetary and Financial Stability, Goethe University, Frankfurt am Main Frankfurt am Main, 20 March 2024 Since the pandemic, monetary policymakers have been facing an exceptionally complex environment. As inflation rose, we were confronted with profound uncertainty about how far it would go and how widely it would spread across"
2024-10-24,speech,Philip R. Lane,Underlying inflation: an update,,5.062103214185812,"SPEECH Underlying inflation: an update Speech by Philip R. Lane, Member of the Executive Board of the ECB, at the Inflation: Drivers and Dynamics Conference 2024 organised by the Federal Reserve Bank of Cleveland and the ECB Cleveland, 24 October 2024 Introduction My aim today is to provide an update on underlying inflation in the euro area.[1] The concept of underlying inflation plays a central role in the conduct of the ECB’s monetary policy: our interest rate decisions are based on our assess"
